direction,entry_time,entry_price,exit_time,exit_price,size,pnl,pnl_percent,signal_type,exit_reason
SHORT,2024-01-12T21:14:00,3868.0,2024-01-12T22:03:00,3878.0,1.0,-10.0,-0.25853154084798347,BEAR_BREAKOUT,止损触发
SHORT,2024-03-14T13:33:00,3528.0,2024-03-14T13:36:00,3536.0,1.0,-8.0,-0.22675736961451248,BEAR_BREAKOUT,止损触发
SHORT,2024-03-15T21:23:00,3459.0,2024-03-15T21:36:00,3448.0,1.0,11.0,0.31801098583405607,BEAR_BREAKOUT,目标达成
SHORT,2024-03-15T21:44:00,3438.0,2024-03-15T21:49:00,3437.0,1.0,1.0,0.029086678301337987,BEAR_BREAKOUT,趋势反转
SHORT,2024-03-26T21:04:00,3483.0,2024-03-26T21:12:00,3492.0,1.0,-9.0,-0.2583979328165375,BEAR_BREAKOUT,止损触发
SHORT,2024-04-01T09:10:00,3383.0,2024-04-01T09:28:00,3372.0,1.0,11.0,0.325155187703222,BEAR_BREAKOUT,目标达成
